Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
827.2	10.424	35.85	173.9
828.2	10.422	35.849	173.88
829.2	10.42	35.849	173.85
830.2	10.419	35.85	173.84
831.2	10.418	35.85	173.83
832.2	10.417	35.851	173.82
833.2	10.414	35.851	173.79
834.2	10.41	35.851	173.75
835.1	10.41	35.851	173.7
836.1	10.411	35.851	173.66
837.1	10.42	35.851	173.63
838.1	10.435	35.856	173.63
839.1	10.446	35.863	173.64
840.1	10.453	35.866	173.66
841.1	10.46	35.869	173.68
842.1	10.464	35.871	173.69
843.1	10.463	35.872	173.72
844.0	10.458	35.873	173.76
845.0	10.453	35.873	173.82
846.0	10.449	35.871	173.9
847.0	10.447	35.871	173.96
848.0	10.447	35.871	174.01
849.0	10.447	35.87	174.03
850.0	10.448	35.871	174.03
851.0	10.446	35.872	174.02
852.0	10.437	35.873	174.01
852.9	10.428	35.873	174.01
853.9	10.413	35.872	174.0
