Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
623.5	12.18	36.226	191.9
624.4	12.094	36.206	191.68
625.4	12.126	36.196	191.45
626.4	12.223	36.227	191.21
627.4	12.234	36.254	190.98
628.4	12.192	36.255	190.75
629.4	12.19	36.246	190.52
630.4	12.223	36.255	190.32
631.4	12.239	36.271	190.16
632.4	12.254	36.279	190.05
633.4	12.269	36.287	189.99
634.3	12.275	36.294	189.97
635.3	12.286	36.297	189.97
636.3	12.301	36.302	189.99
637.3	12.324	36.307	190.02
638.3	12.377	36.319	190.07
639.3	12.429	36.338	190.14
640.3	12.452	36.353	190.23
641.3	12.465	36.358	190.35
642.3	12.488	36.36	190.49
643.3	12.523	36.371	190.64
644.2	12.545	36.383	190.79
645.2	12.557	36.39	190.94
646.2	12.572	36.393	191.09
647.2	12.591	36.394	191.26
648.2	12.616	36.399	191.44
649.2	12.644	36.407	191.63
650.2	12.662	36.416	191.81
651.2	12.669	36.423	191.97
652.2	12.672	36.425	192.12
653.1	12.674	36.425	192.25
654.1	12.68	36.425	192.36
655.1	12.691	36.428	192.46
656.1	12.698	36.433	192.54
657.1	12.7	36.435	192.6
658.1	12.7	36.436	192.65
659.1	12.701	36.436	192.68
660.1	12.702	36.436	192.69
661.1	12.702	36.437	192.7
662.1	12.702	36.437	192.72
663.0	12.704	36.438	192.72
664.0	12.706	36.438	192.73
665.0	12.708	36.44	192.74
666.0	12.708	36.442	192.75
667.0	12.708	36.444	192.77
668.0	12.711	36.445	192.8
669.0	12.715	36.446	192.83
670.0	12.718	36.448	192.85
671.0	12.721	36.449	192.88
671.9	12.723	36.45	192.91
672.9	12.723	36.45	192.94
673.9	12.723	36.451	192.96
674.9	12.724	36.451	192.97
675.9	12.726	36.45	192.97
676.9	12.729	36.451	192.96
677.9	12.729	36.452	192.96
678.9	12.73	36.452	192.96
679.9	12.732	36.453	192.97
680.9	12.731	36.454	192.96
681.8	12.728	36.455	192.93
682.8	12.724	36.455	192.89
683.8	12.721	36.455	192.86
684.8	12.717	36.455	192.85
685.8	12.713	36.454	192.85
686.8	12.713	36.455	192.86
687.8	12.714	36.455	192.85
688.8	12.715	36.456	192.83
689.8	12.717	36.457	192.8
690.7	12.721	36.459	192.79
691.7	12.724	36.461	192.82
692.7	12.725	36.462	192.88
693.7	12.724	36.463	192.95
694.7	12.724	36.463	193.02
695.7	12.725	36.463	193.08
696.7	12.725	36.464	193.12
697.7	12.723	36.465	193.17
698.7	12.721	36.465	193.24
699.6	12.72	36.464	193.32
700.6	12.721	36.464	193.39
701.6	12.724	36.467	193.45
702.6	12.725	36.469	193.48
703.6	12.724	36.471	193.49
704.6	12.724	36.471	193.5
705.6	12.725	36.471	193.5
706.6	12.727	36.472	193.5
707.6	12.728	36.475	193.52
708.6	12.727	36.477	193.54
709.5	12.726	36.479	193.55
710.5	12.725	36.481	193.54
711.5	12.724	36.484	193.52
712.5	12.72	36.489	193.48
713.5	12.714	36.494	193.42
714.5	12.7	36.501	193.32
715.5	12.673	36.507	193.17
716.5	12.644	36.507	192.98
717.5	12.62	36.503	192.75
718.4	12.606	36.5	192.47
719.4	12.596	36.498	192.15
720.4	12.591	36.497	191.77
721.4	12.594	36.499	191.37
722.4	12.601	36.502	190.96
723.4			
724.4			
725.4			
726.4			
727.3			
728.3			
729.3			
730.3			
731.3			
732.3			
733.3			
734.3			
735.3			
736.3			
737.2			
738.2			
739.2			
740.2			
741.2			
742.2			
743.2			
744.2			
745.2			
746.1			
747.1			
748.1			
749.1			
750.1			
751.1			
752.1			
753.1			
754.1			
755.0			
756.0			
757.0			
758.0			
759.0			
760.0			
761.0			
762.0			
763.0			
763.9			
764.9			
765.9			
766.9			
767.9			
768.9			
769.9			
770.9			
771.9			
772.8			
773.8			
774.8			
775.8			
776.8			
777.8			
778.8			
779.8			
780.8			
781.7			
782.7			
783.7			
784.7			
785.7			
786.7			
787.7			
788.7			
789.7			
790.6			
791.6			
792.6			
793.6			
794.6			
795.6			
796.6			
797.6			
798.6			
799.5			
800.5			
801.5			
802.5			
803.5			
804.5			
805.5			
806.5			
807.5			
808.4			
809.4			
810.4			
811.4			
812.4			
813.4			
814.4			
815.4			
816.4			
817.3			
818.3			
819.3			
820.3			
821.3			
822.3			
823.3			
824.3			
825.3			
826.2			
827.2			
828.2			
829.2			
830.2			
831.2			
832.2			
833.2			
834.2			
835.1			
836.1			
837.1			
838.1			
839.1			
840.1			
841.1			
842.1			
843.1			
844.0			
845.0			
846.0			
847.0			
848.0			
849.0			
850.0			
851.0			
852.0			
852.9			
853.9			
854.9			
855.9			
856.9			
857.9			
858.9			
859.9			
860.8			
861.8			
862.8			
863.8			
864.8			
865.8			
866.8			
867.8			
868.8			
869.7			
870.7			
871.7			
872.7			
873.7			
874.7			
875.7			
876.7			
877.7			
878.6			
879.6			
880.6			
881.6			
882.6			
883.6			
884.6			
885.6			
886.5			
887.5			
888.5			
889.5			
890.5			
891.5			
892.5			
893.5			
894.5			
895.4			
896.4			
897.4			
898.4			
899.4			
900.4			
901.4			
902.4			
903.4			
904.3			
905.3			
906.3			
907.3			
908.3			
909.3			
910.3			
911.3			
912.2			
913.2			
914.2			
915.2			
916.2			
917.2			
918.2			
919.2			
920.2			
921.1			
922.1			
923.1			
924.1			
925.1			
926.1			
927.1			
928.1			
929.0			
930.0			
931.0			
932.0			
933.0			
934.0			
935.0			
936.0			
937.0			
937.9			
938.9			
939.9			
940.9			
941.9			
942.9			
943.9			
944.9			
945.8			
946.8			
947.8			
948.8			
949.8			
950.8			
951.8			
952.8			
953.8			
954.7			
955.7			
956.7			
957.7			
958.7			
959.7			
960.7			
961.7			
962.6			
963.6			
964.6			
965.6			
966.6			
967.6			
968.6			
969.6			
970.5			
971.5			
972.5			
973.5			
974.5			
